KORAD_TIME;LCARD_CH0MEAN;LCARD_CH1MEAN;LCARD_CH0STD;LCARD_CH1STD;LCARD_CH0MIN;LCARD_CH1MIN;LCARD_CH0MAX;LCARD_CH1MAX;LCARD_COMP_TIME;U_anode_V;I_anode_uA;;CommandTable
0.0001125335693359375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0013644695281982422;0.0;0.0
1.013502597808838;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0153224468231201;0.0;0.0
2.0260820388793945;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0277605056762695;0.0;0.0
3.0464365482330322;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0480539798736572;0.0;0.0
4.063568592071533;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.065121173858643;0.0;0.0
5.073593616485596;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.074852705001831;0.0;0.0
6.092382907867432;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0937604904174805;0.0;0.0
7.09768533706665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0988476276397705;0.0;0.0
8.102604150772095;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.104076623916626;0.0;0.0
9.115170240402222;1.664118766784668;1.2697405815124512;0.000780095811933279;0.0006412763614207506;1.662750005722046;1.268625020980835;1.6664999723434448;1.2719999551773071;9.117013454437256;5078.962326049805;50.00715389251709
10.137979745864868;1.664118766784668;1.2697405815124512;0.000780095811933279;0.0006412763614207506;1.662750005722046;1.268625020980835;1.6664999723434448;1.2719999551773071;10.139652729034424;5078.962326049805;50.00715389251709
11.151313781738281;1.664118766784668;1.2697405815124512;0.000780095811933279;0.0006412763614207506;1.662750005722046;1.268625020980835;1.6664999723434448;1.2719999551773071;11.153164863586426;5078.962326049805;50.00715389251709
12.164688348770142;1.664118766784668;1.2697405815124512;0.000780095811933279;0.0006412763614207506;1.662750005722046;1.268625020980835;1.6664999723434448;1.2719999551773071;12.16638469696045;5078.962326049805;50.00715389251709
13.185964822769165;1.664118766784668;1.2697405815124512;0.000780095811933279;0.0006412763614207506;1.662750005722046;1.268625020980835;1.6664999723434448;1.2719999551773071;13.187694072723389;5078.962326049805;50.00715389251709
14.19973874092102;1.664118766784668;1.2697405815124512;0.000780095811933279;0.0006412763614207506;1.662750005722046;1.268625020980835;1.6664999723434448;1.2719999551773071;14.201412916183472;5078.962326049805;50.00715389251709
15.213282823562622;1.664118766784668;1.2697405815124512;0.000780095811933279;0.0006412763614207506;1.662750005722046;1.268625020980835;1.6664999723434448;1.2719999551773071;15.214885950088501;5078.962326049805;50.00715389251709
16.221182346343994;1.664118766784668;1.2697405815124512;0.000780095811933279;0.0006412763614207506;1.662750005722046;1.268625020980835;1.6664999723434448;1.2719999551773071;16.222614765167236;5078.962326049805;50.00715389251709
17.227976083755493;1.664118766784668;1.2697405815124512;0.000780095811933279;0.0006412763614207506;1.662750005722046;1.268625020980835;1.6664999723434448;1.2719999551773071;17.229830503463745;5078.962326049805;50.00715389251709
18.234849452972412;1.664118766784668;1.2697405815124512;0.000780095811933279;0.0006412763614207506;1.662750005722046;1.268625020980835;1.6664999723434448;1.2719999551773071;18.236505031585693;5078.962326049805;50.00715389251709
19.248201608657837;1.6640344858169556;1.2697123289108276;0.0005680231843143702;0.0007055502501316369;1.662750005722046;1.268625020980835;1.6649999618530273;1.2712500095367432;19.249764680862427;5078.849315643311;50.00004949569702
20.25623655319214;1.6640344858169556;1.2697123289108276;0.0005680231843143702;0.0007055502501316369;1.662750005722046;1.268625020980835;1.6649999618530273;1.2712500095367432;20.257898330688477;5078.849315643311;50.00004949569702
21.27869153022766;1.6640344858169556;1.2697123289108276;0.0005680231843143702;0.0007055502501316369;1.662750005722046;1.268625020980835;1.6649999618530273;1.2712500095367432;21.280259609222412;5078.849315643311;50.00004949569702
22.28609871864319;1.6640344858169556;1.2697123289108276;0.0005680231843143702;0.0007055502501316369;1.662750005722046;1.268625020980835;1.6649999618530273;1.2712500095367432;22.287627696990967;5078.849315643311;50.00004949569702
23.29901909828186;1.6640344858169556;1.2697123289108276;0.0005680231843143702;0.0007055502501316369;1.662750005722046;1.268625020980835;1.6649999618530273;1.2712500095367432;23.30059576034546;5078.849315643311;50.00004949569702
24.313215494155884;1.6640344858169556;1.2697123289108276;0.0005680231843143702;0.0007055502501316369;1.662750005722046;1.268625020980835;1.6649999618530273;1.2712500095367432;24.314889430999756;5078.849315643311;50.00004949569702
25.330689430236816;1.6640344858169556;1.2697123289108276;0.0005680231843143702;0.0007055502501316369;1.662750005722046;1.268625020980835;1.6649999618530273;1.2712500095367432;25.332329511642456;5078.849315643311;50.00004949569702
26.344383001327515;1.6640344858169556;1.2697123289108276;0.0005680231843143702;0.0007055502501316369;1.662750005722046;1.268625020980835;1.6649999618530273;1.2712500095367432;26.34601664543152;5078.849315643311;50.00004949569702
27.357006549835205;1.6640344858169556;1.2697123289108276;0.0005680231843143702;0.0007055502501316369;1.662750005722046;1.268625020980835;1.6649999618530273;1.2712500095367432;27.358612537384033;5078.849315643311;50.00004949569702
28.364639282226562;1.6640344858169556;1.2697123289108276;0.0005680231843143702;0.0007055502501316369;1.662750005722046;1.268625020980835;1.6649999618530273;1.2712500095367432;28.36620330810547;5078.849315643311;50.00004949569702
