KORAD_TIME;LCARD_COMP_TIME;U_a_kV;U_ps_kV;J_uA;;CommandTable
0.001007080078125;0.0011858940124511719;nan;nan;nan
1.0072381496429443;1.0072381496429443;nan;nan;nan
2.025601387023926;2.025926113128662;nan;nan;nan
3.0364396572113037;3.0364396572113037;nan;nan;nan
4.042773008346558;4.042773008346558;nan;nan;nan
5.052567958831787;5.052567958831787;nan;nan;nan
KORAD_TIME;LCARD_COMP_TIME;U_a_kV;U_ps_kV;J_uA;;CommandTable
17.396400451660156;17.396400451660156;nan;nan;nan
18.40047812461853;18.40047812461853;nan;nan;nan
19.405598640441895;19.40662384033203;nan;nan;nan
20.42435908317566;20.425100564956665;nan;nan;nan
21.43433165550232;21.434826135635376;nan;nan;nan
22.44843101501465;22.448925971984863;nan;nan;nan
23.45926523208618;23.45926523208618;nan;nan;nan
24.472283124923706;24.472283124923706;nan;nan;nan
25.483882427215576;25.484121561050415;nan;nan;nan
26.492300987243652;26.492300987243652;nan;nan;nan
27.50093126296997;27.501497983932495;nan;nan;nan
28.51213312149048;28.513155698776245;nan;nan;nan
29.52299427986145;29.523483991622925;nan;nan;nan
30.531410694122314;30.53206992149353;nan;nan;nan
31.53892207145691;31.53892207145691;nan;nan;nan
KORAD_TIME;LCARD_COMP_TIME;U_a_kV;U_ps_kV;J_uA;;CommandTable
34.5755820274353;34.5755820274353;nan;nan;nan
35.58451294898987;35.58451294898987;nan;nan;nan
KORAD_TIME;LCARD_COMP_TIME;U_a_kV;U_ps_kV;J_uA;;CommandTable
38.57135033607483;38.57135033607483;nan;nan;nan
39.587493658065796;39.587790727615356;nan;nan;nan
