KORAD_TIME;KORAD_U;KORAD_I;LCARD_CH0MEAN;LCARD_CH1MEAN;LCARD_CH0STD;LCARD_CH1STD;LCARD_CH0MIN;LCARD_CH1MIN;LCARD_CH0MAX;LCARD_CH1MAX;LCARD_COMP_TIME;U_a;U_ps;J;;CommandTable
0.0057408809661865234;0.054;0.298;0.003899998962879181;0.0039937496185302734;0.0004946589469909668;0.0005339636118151248;0.003000000026077032;0.003000000026077032;0.004875000100582838;0.004875000100582838;0.006995439529418945;0.0039937496185302734;0.003899998962879181;-9.375065565109253e-05
1.0187175273895264;0.054;0.298;0.003899998962879181;0.0039937496185302734;0.0004946589469909668;0.0005339636118151248;0.003000000026077032;0.003000000026077032;0.004875000100582838;0.004875000100582838;1.020409345626831;0.0039937496185302734;0.003899998962879181;-9.375065565109253e-05
2.037986993789673;0.054;0.298;0.003899998962879181;0.0039937496185302734;0.0004946589469909668;0.0005339636118151248;0.003000000026077032;0.003000000026077032;0.004875000100582838;0.004875000100582838;2.039492607116699;0.0039937496185302734;0.003899998962879181;-9.375065565109253e-05
3.0606818199157715;0.054;0.298;0.003899998962879181;0.0039937496185302734;0.0004946589469909668;0.0005339636118151248;0.003000000026077032;0.003000000026077032;0.004875000100582838;0.004875000100582838;3.0621495246887207;0.0039937496185302734;0.003899998962879181;-9.375065565109253e-05
4.074213981628418;0.054;0.298;0.003899998962879181;0.0039937496185302734;0.0004946589469909668;0.0005339636118151248;0.003000000026077032;0.003000000026077032;0.004875000100582838;0.004875000100582838;4.07586407661438;0.0039937496185302734;0.003899998962879181;-9.375065565109253e-05
5.092833518981934;0.054;0.298;0.003899998962879181;0.0039937496185302734;0.0004946589469909668;0.0005339636118151248;0.003000000026077032;0.003000000026077032;0.004875000100582838;0.004875000100582838;5.0943098068237305;0.0039937496185302734;0.003899998962879181;-9.375065565109253e-05
6.117276191711426;0.054;0.298;0.003899998962879181;0.0039937496185302734;0.0004946589469909668;0.0005339636118151248;0.003000000026077032;0.003000000026077032;0.004875000100582838;0.004875000100582838;6.118881464004517;0.0039937496185302734;0.003899998962879181;-9.375065565109253e-05
7.1364336013793945;0.054;0.298;0.003899998962879181;0.0039937496185302734;0.0004946589469909668;0.0005339636118151248;0.003000000026077032;0.003000000026077032;0.004875000100582838;0.004875000100582838;7.1378021240234375;0.0039937496185302734;0.003899998962879181;-9.375065565109253e-05
8.163186311721802;0.054;0.298;0.003899998962879181;0.0039937496185302734;0.0004946589469909668;0.0005339636118151248;0.003000000026077032;0.003000000026077032;0.004875000100582838;0.004875000100582838;8.164763927459717;0.0039937496185302734;0.003899998962879181;-9.375065565109253e-05
9.189913272857666;0.054;0.298;0.0038812500424683094;0.003815624164417386;0.0005533632356673479;0.0005426982534117997;0.002624999964609742;0.002624999964609742;0.004875000100582838;0.004875000100582838;9.191471576690674;0.003815624164417386;0.0038812500424683094;6.562587805092335e-05
