KORAD_TIME;KORAD_U;KORAD_I;LCARD_CH0MEAN;LCARD_CH1MEAN;LCARD_CH0STD;LCARD_CH1STD;LCARD_CH0MIN;LCARD_CH1MIN;LCARD_CH0MAX;LCARD_CH1MAX;LCARD_COMP_TIME;U_anode_V;I_anode_uA;;CommandTable
0.0057337284088134766;0.025;0.299;0.006210000719875097;0.0061612497083842754;0.0007199998362921178;0.0006755311042070389;0.004875000100582838;0.0044999998062849045;0.007499999832361937;0.007499999832361937;0.0071942806243896484;17.25149918347597;0.0002730056643486023
1.0297448635101318;0.025;0.299;0.006348750088363886;0.006288751494139433;0.0006776096997782588;0.0007421874906867743;0.0044999998062849045;0.004875000100582838;0.007499999832361937;0.00787500012665987;1.0313608646392822;17.608504183590412;0.00033599212765693663
2.0440406799316406;0.025;0.299;0.006236250512301922;0.006191250868141651;0.0007028726977296174;0.0007124902331270278;0.0044999998062849045;0.0044999998062849045;0.00787500012665987;0.007499999832361937;2.045510768890381;17.335502430796623;0.00025199800729751586
3.06335186958313;0.028;0.336;0.006536250934004784;0.006393751595169306;0.0006435486138798296;0.0006055409903638065;0.004875000100582838;0.004875000100582838;0.00787500012665987;0.007499999832361937;3.064958333969116;17.902504466474056;0.0007979962974786758
4.082186937332153;0.038;0.441;0.006262500770390034;0.006161252036690712;0.0007509368006139994;0.0006713547627441585;0.0044999998062849045;0.0044999998062849045;0.00787500012665987;0.007499999832361937;4.083951711654663;17.251505702733994;0.0005669929087162018
5.106854200363159;0.043;0.488;0.006251252721995115;0.006243749987334013;0.0006833954248577356;0.0007102759554982185;0.004875000100582838;0.0044999998062849045;0.00787500012665987;0.00787500012665987;5.10833740234375;17.482499964535236;4.201531410217285e-05
6.125974178314209;0.053;0.592;0.006123751867562532;0.006105002015829086;0.0007501032087020576;0.0007234291988424957;0.004124999977648258;0.0044999998062849045;0.007499999832361937;0.007499999832361937;6.127516508102417;17.09400564432144;0.00010499916970729828
7.143853664398193;0.062;0.679;0.00613125367090106;0.006187502760440111;0.0006438104901462793;0.0006591897690668702;0.004875000100582838;0.004875000100582838;0.00787500012665987;0.007499999832361937;7.145297288894653;17.32500772923231;-0.00031499490141868587
8.163321495056152;0.072;0.77;0.00619500270113349;0.006105001084506512;0.0006591473938897252;0.0007538898498751223;0.004875000100582838;0.0044999998062849045;0.007499999832361937;0.00787500012665987;8.164864301681519;17.094003036618233;0.0005040090531110763
9.192736148834229;0.084;0.859;0.006393751595169306;0.0066224997863173485;0.0006481644813902676;0.000689877662807703;0.004875000100582838;0.004875000100582838;0.008249999955296516;0.008249999955296516;9.194151639938354;18.542999401688576;-0.001280989870429039
10.212590456008911;0.094;0.942;0.0064650001004338264;0.0066899992525577545;0.0006519396556541324;0.0007149039302021265;0.004875000100582838;0.005249999929219484;0.00787500012665987;0.00787500012665987;10.214086294174194;18.731997907161713;-0.001259995251893997
11.232422590255737;0.102;0.989;0.0066037471406161785;0.0067012496292591095;0.0007013502763584256;0.0006637711776420474;0.004875000100582838;0.004875000100582838;0.008249999955296516;0.00787500012665987;11.233773708343506;18.763498961925507;-0.0005460139364004135
12.252005815505981;0.113;1.066;0.006566249765455723;0.006731250789016485;0.0006760304095223546;0.0006962791667319834;0.0044999998062849045;0.004875000100582838;0.00787500012665987;0.008249999955296516;12.253515481948853;18.84750220924616;-0.0009240057319402694
13.27268123626709;0.123;1.118;0.0064762490801513195;0.006716249510645866;0.000709245796315372;0.0006164046935737133;0.0044999998062849045;0.005249999929219484;0.00787500012665987;0.00787500012665987;13.273939371109009;18.805498629808426;-0.0013440024107694625
14.291769981384277;0.127;1.138;0.006438750773668289;0.006431249901652336;0.000643111125100404;0.0007102761301212013;0.004875000100582838;0.0044999998062849045;0.00787500012665987;0.008249999955296516;14.29305100440979;18.00749972462654;4.200488328933715e-05
15.31092381477356;0.139;1.206;0.006513750180602074;0.006682499777525663;0.0006015332182869315;0.0006394379306584597;0.004875000100582838;0.005249999929219484;0.007499999832361937;0.008249999955296516;15.312570571899414;18.710999377071857;-0.0009449977427721023
16.330894708633423;0.155;1.284;0.006468749605119228;0.006502498872578144;0.000700306729413569;0.0006521548493765295;0.0044999998062849045;0.004875000100582838;0.00787500012665987;0.00787500012665987;16.332475185394287;18.206996843218803;-0.00018899589776992797
17.35695171356201;0.167;1.32;0.006442500744014978;0.006776249501854181;0.0006567961536347866;0.0006413595983758569;0.0044999998062849045;0.004875000100582838;0.00787500012665987;0.00787500012665987;17.35855507850647;18.973498605191708;-0.001868993043899536
18.37732696533203;0.182;1.374;0.0065400004386901855;0.006652499549090862;0.0006393062649294734;0.0006615747697651386;0.004875000100582838;0.004875000100582838;0.00787500012665987;0.00787500012665987;18.378724098205566;18.626998737454414;-0.0006299950182437897
19.39779019355774;0.193;1.399;0.006352501921355724;0.006637499202042818;0.0005707396194338799;0.000624124426394701;0.005249999929219484;0.004875000100582838;0.00712500000372529;0.00787500012665987;19.3992702960968;18.58499776571989;-0.0015959847718477248
20.417263507843018;0.197;1.399;0.006251250393688679;0.006450001150369644;0.0007831216207705438;0.0007193746278062463;0.004875000100582838;0.004875000100582838;0.008249999955296516;0.008249999955296516;20.418715715408325;18.060003221035004;-0.0011130042374134063
21.44477891921997;0.199;1.399;0.006228751968592405;0.006217500194907188;0.000734645698685199;0.0007019214099273086;0.0044999998062849045;0.004875000100582838;0.007499999832361937;0.00787500012665987;21.44646906852722;17.409000545740128;6.300993263721466e-05
