KORAD_TIME;LCARD_COMP_TIME;U_anode_V;I_anode_uA;;CommandTable
0.00016641616821289062;0.00033164024353027344;1.0;2.0
1.013493537902832;1.0139575004577637;1.0;2.0
2.030083656311035;2.0304925441741943;1.0;2.0
3.0357818603515625;3.036254644393921;1.0;2.0
4.044373989105225;4.04480504989624;1.0;2.0
5.060730218887329;5.061155557632446;1.0;2.0
6.0697855949401855;6.07021427154541;1.0;2.0
7.078388452529907;7.078740835189819;1.0;2.0
8.091033935546875;8.091402530670166;1.0;2.0
9.108378887176514;9.10884404182434;1.0;2.0
10.117488384246826;10.117854118347168;1.0;2.0
11.132346391677856;11.132648468017578;1.0;2.0
12.1408052444458;12.14103102684021;1.0;2.0
13.148702621459961;13.14908480644226;1.0;2.0
14.161440372467041;14.161890268325806;1.0;2.0
15.170055389404297;15.170579433441162;1.0;2.0
16.179019451141357;16.17940902709961;1.0;2.0
17.187483310699463;17.187929391860962;1.0;2.0
18.196150541305542;18.196600675582886;1.0;2.0
19.205554723739624;19.206020832061768;1.0;2.0
20.218898057937622;20.219321250915527;1.0;2.0
KORAD_TIME;LCARD_COMP_TIME;U_anode_V;I_anode_uA;;CommandTable
0.00011587142944335938;0.0002434253692626953;1.0;2.0
1.0083997249603271;1.0088610649108887;1.0;2.0
2.0240893363952637;2.0245258808135986;1.0;2.0
3.041287660598755;3.0417957305908203;1.0;2.0
4.056097507476807;4.056311845779419;1.0;2.0
5.058546543121338;5.059044361114502;1.0;2.0
6.067371368408203;6.0678770542144775;1.0;2.0
7.076488256454468;7.076941251754761;1.0;2.0
8.085776090621948;8.086233377456665;1.0;2.0
9.094705820083618;9.095164060592651;1.0;2.0
10.10372281074524;10.104187250137329;1.0;2.0
11.112928867340088;11.113377809524536;1.0;2.0
12.122169494628906;12.122627973556519;1.0;2.0
13.131455898284912;13.131898164749146;1.0;2.0
14.140118598937988;14.140336751937866;1.0;2.0
15.148612022399902;15.148944616317749;1.0;2.0
16.16237735748291;16.162821292877197;1.0;2.0
17.173646926879883;17.174137115478516;1.0;2.0
18.191067934036255;18.19150424003601;1.0;2.0
19.19967246055603;19.200128316879272;1.0;2.0
20.216273546218872;20.216794967651367;1.0;2.0
21.230154752731323;21.23049259185791;1.0;2.0
22.238500118255615;22.238975524902344;1.0;2.0
23.247310161590576;23.247710466384888;1.0;2.0
24.26150393486023;24.261958122253418;1.0;2.0
